Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,7641.0,7716.5,7640.75,7690.5,7690.5,300152
2019-06-28,7685.25,7726.0,7664.0,7693.75,7693.75,310126
2019-07-01,7781.5,7849.75,7759.0,7790.0,7790.0,406594
2019-07-02,7792.5,7843.25,7763.0,7838.25,7838.25,297574
2019-07-05,7887.75,7909.75,7797.25,7851.5,7851.5,375287
2019-07-08,7855.0,7863.5,7777.5,7801.0,7801.0,342228
2019-07-09,7802.25,7858.75,7743.0,7845.25,7845.25,346314
2019-07-10,7848.0,7949.5,7811.25,7928.75,7928.75,442842
2019-07-11,7924.25,7963.25,7894.25,7918.75,7918.75,407894
2019-07-12,7917.25,7967.5,7911.75,7960.0,7960.0,299817
2019-07-15,7958.25,7992.0,7941.25,7986.75,7986.75,247176
2019-07-16,7982.75,8001.5,7924.0,7942.75,7942.75,303702
2019-07-17,7939.75,7966.25,7868.0,7885.5,7885.5,303890
2019-07-18,7868.0,7954.75,7833.0,7933.5,7933.5,413722
2019-07-19,7950.5,7980.75,7815.25,7842.75,7842.75,438469
2019-07-22,7830.0,7936.5,7826.25,7924.75,7924.75,355209
2019-07-23,7926.5,7985.75,7908.0,7983.75,7983.75,357765
2019-07-24,7944.0,8051.75,7925.25,8038.0,8038.0,356159
2019-07-25,8004.5,8034.5,7917.25,7981.75,7981.75,433945
2019-07-26,7992.0,8040.75,7987.5,8019.75,8019.75,322305
2019-07-29,8017.5,8031.75,7951.75,8001.25,8001.25,301214
2019-07-30,8004.25,8020.0,7928.25,7963.25,7963.25,394698
2019-07-31,7992.5,8001.25,7782.25,7866.75,7866.75,556437
2019-08-01,7834.0,8014.5,7776.75,7808.25,7808.25,772956
2019-08-02,7797.0,7806.0,7650.25,7702.25,7702.25,736453
2019-08-05,7701.75,7705.5,7359.75,7385.25,7385.25,848399
2019-08-06,7349.0,7549.0,7224.5,7515.5,7515.5,845239
2019-08-07,7512.75,7577.5,7387.5,7553.25,7553.25,851275
2019-08-08,7553.5,7738.5,7526.0,7735.75,7735.75,553666
