,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2
0,2000-09-22,1436.75,1489.75,1485.25,1468.5,,1468.5,,1468.5,53.0,53.0,,,,,,,,,
1,2000-09-29,1438.25,1481.0,1469.5,1454.0,,1454.0,,1455.5657056473385,42.75,52.06818181818181,,,,,,,,,
2,2000-10-06,1411.5,1474.0,1453.75,1426.25,,1426.25,,1432.5513757967803,62.5,53.016528925619824,,,,,,,,,
3,2000-10-13,1339.0,1426.75,1425.25,1386.25,,1386.25,,1399.664363454946,87.75,56.17411720510893,,,,,,,,,
4,2000-10-20,1324.0,1422.0,1386.0,1411.0,,1411.0,,1399.793354811132,98.0,59.97647018646266,,,,,,,,,
5,2000-10-27,1348.5,1428.75,1411.0,1401.0,,1401.0,,1395.8132717102515,80.25,61.81951835132969,,,,,,,,,
6,2000-11-03,1387.0,1445.5,1398.0,1436.75,,1436.75,,1410.7792931335664,58.5,61.51774395575426,,,,,,,,,
7,2000-11-10,1370.5,1455.0,1436.0,1372.25,,1372.25,,1392.7582255148695,84.5,63.6070399597766,,,,,,,,,
8,2000-11-17,1335.0,1404.5,1369.0,1370.5,,1370.5,1400.6888888888889,1380.773769622822,69.5,64.14276359979691,1400.6888888888889,,,1464.8316524886857,1336.546125289092,1503.317310648564,1298.0604671292137,1548.2172451684219,1253.1605326093559
9,2000-11-27,1320.25,1373.5,1369.75,1359.0,,1359.0,1389.6777777777777,1368.799649059037,53.25,63.152512363451734,1389.6777777777777,0.9921387888499309,0.9921387888499309,1452.8302901412294,1326.525265414326,1490.7217975593005,1288.6337579962549,1534.9285562137165,1244.4269993418388
10,2000-12-04,1296.75,1364.5,1358.5,1329.5,,1329.5,1375.2,1350.2740517299667,67.75,63.57046578495612,1375.2,0.9895819174708766,0.9895819174708766,1438.770465784956,1311.629534215044,1476.9127452559298,1273.4872547440702,1521.4120713053992,1228.987928694601
11,2000-12-11,1329.0,1392.0,1331.5,1383.0,,1383.0,1374.1888888888889,1356.3709026384956,63.0,63.518605259051014,1374.1888888888889,0.999264753409605,0.9992647534096049,1437.70749414794,1310.6702836298377,1475.8186573033704,1272.5591204744073,1520.281680984706,1228.0960967930716
12,2000-12-18,1317.75,1387.75,1380.5,1346.0,,1346.0,1366.7388888888888,1348.8561780644293,70.0,64.10782296277365,1366.7388888888888,0.9945786201153003,0.9945786201153003,1430.8467118516626,1302.631065926115,1469.3114056293266,1264.166372148451,1514.1868817032682,1219.2908960745094
13,2000-12-26,1270.25,1366.75,1346.75,1336.5,,1336.5,1358.2833333333333,1340.6810397555757,96.5,67.05256632979423,1358.2833333333333,0.993813335067659,0.9938133350676591,1425.3358996631275,1291.230767003539,1465.5674394610041,1250.9992272056625,1512.50423589186,1204.0624307748067
14,2001-01-03,1288.75,1367.25,1337.5,1359.0,,1359.0,1355.9833333333333,1342.1765081455947,78.5,68.09324211799475,1355.9833333333333,0.998306686135686,0.9983066861356862,1424.0765754513282,1287.8900912153385,1464.932520722125,1247.0341459445417,1512.5977902047212,1199.3688764619455
15,2001-01-10,1287.5,1380.0,1360.0,1327.0,,1327.0,1348.2166666666667,1333.827792521401,92.5,70.31203828908613,1348.2166666666667,0.99427229931538,0.9942722993153801,1418.5287049557528,1277.9046283775806,1460.7159279292046,1235.7174054041288,1509.9343547315648,1186.4989786017686
16,2001-01-18,1319.5,1364.0,1325.75,1356.0,,1356.0,1348.6888888888889,1336.6358858573549,44.5,67.96548935371466,1348.6888888888889,1.0003502569237552,1.0003502569237552,1416.6543782426036,1280.7233995351742,1457.4336718548323,1239.9441059229455,1505.0095144024326,1192.3682633753451
17,2001-01-25,1341.25,1379.0,1359.0,1365.0,,1365.0,1351.3222222222223,1341.8502328815277,37.75,65.21862668519515,1351.3222222222223,1.0019525135522567,1.001952513552257,1416.5408489074175,1286.103595537027,1455.6720249185346,1246.97241952591,1501.3250635981713,1201.3193808462734
18,2001-02-01,1350.25,1394.0,1364.25,1382.5,,1382.5,1357.5777777777778,1351.3171867768558,43.75,63.2669333501774,1357.5777777777778,1.0046292108963237,1.0046292108963242,1420.8447111279552,1294.3108444276004,1458.8048711380616,1256.350684417494,1503.0917244831858,1212.0638310723698
